step,sim_time,dt,max_speed,max_accel
1169,12.9169,0.00956705,106.589,2731.39
1173,12.953,0.00885675,101.314,3187.07
1177,12.9856,0.00790874,97.0662,3996.92
1181,13.0186,0.00836628,99.4159,3571.7
1185,13.0519,0.00830068,93.6691,3628.38
1189,13.0859,0.00855899,96.273,3412.67
1193,13.1182,0.00793996,94.8248,3965.55
1197,13.1492,0.00766633,92.6248,4253.68
1201,13.1818,0.00867067,92.9698,3325.33
1205,13.2152,0.00735534,99.9664,4620.98
1209,13.2449,0.00765581,102.228,4265.38
1213,13.2756,0.00765581,102.228,4265.38
1217,13.3105,0.00853628,104.212,3430.85
1221,13.3442,0.00805497,100.111,3853.11
1225,13.3764,0.00805497,100.111,3853.11
1229,13.4057,0.00733,103.367,4652.99
1233,13.4354,0.00741984,100.334,4541
1237,13.4669,0.00802391,102.196,3883
1241,13.4966,0.00722288,104.793,4792.03
1245,13.5252,0.00714323,107.95,4899.49
1249,13.5559,0.0081934,106.356,3724.02
1253,13.5894,0.00858632,108.066,3390.98
1257,13.6245,0.00891718,111.598,3144.02
1261,13.6605,0.00929417,117.06,2894.13
1265,13.6962,0.00854197,116.364,3426.29
1269,13.7297,0.00820276,113.477,3715.52
1273,13.7613,0.00761008,102.491,4316.8
1277,13.7923,0.0082272,97.0282,3693.48
1281,13.8253,0.00826786,98.4562,3657.24
1285,13.8576,0.00750021,103.841,4444.19
1289,13.8876,0.00750021,103.841,4444.19
1293,13.921,0.00835586,103.542,3580.62
1297,13.9541,0.00807886,102.631,3830.37
1301,13.9864,0.00807886,102.631,3830.37
1305,14.0165,0.00752715,99.5709,4412.43
1309,14.0499,0.00833026,99.7706,3602.66
1313,14.0849,0.00875895,99.5747,3258.63
1317,14.1193,0.00859158,99.041,3386.83
1321,14.1528,0.00838544,93.8317,3555.4
1325,14.186,0.00828226,99.3707,3644.53
1329,14.2221,0.00926801,103.789,2910.49
1333,14.2575,0.00885341,113.66,3189.47
1337,14.2922,0.00865813,115.994,3334.97
1341,14.3265,0.0085883,115.968,3389.42
1345,14.3583,0.00793854,120.138,3966.97
1349,14.3899,0.00789731,118.333,4008.5
1353,14.421,0.00778907,106.092,4120.68
1357,14.4532,0.00813923,114.4,3773.76
1361,14.4853,0.00798985,109.311,3916.19
1365,14.5162,0.00762894,107.104,4295.48
1369,14.549,0.00877886,109.805,3243.87
1373,14.5834,0.00854238,117.526,3425.96
1377,14.6184,0.00880604,111.096,3223.88
1381,14.6539,0.00891365,123.654,3146.51
1385,14.6874,0.00817919,123.577,3736.97
1389,14.7216,0.00869093,122.337,3309.84
1393,14.7581,0.00926506,114.121,2912.35
1397,14.7934,0.00880467,112.647,3224.88
1401,14.8276,0.00856804,112.213,3405.47
1405,14.8627,0.00877796,112.676,3244.54
1409,14.8956,0.00821352,121.411,3705.8
1413,14.9277,0.00801636,122.438,3890.32
1417,14.9616,0.00847554,122.908,3480.21
1421,14.9946,0.00826099,117.883,3663.33
1425,15.0218,0.00679427,108.897,5415.7
1429,15.0497,0.00702944,118.415,5059.4
1433,15.0795,0.00758646,121.263,4343.71
1437,15.1119,0.00865574,120.881,3336.81
1441,15.1465,0.00862289,118.164,3362.28
1445,15.181,0.00862143,119.807,3363.42
1449,15.215,0.008399,120.233,3543.92
1453,15.2484,0.00832272,119.73,3609.19
1457,15.2826,0.00876937,118.441,3250.9
1461,15.3192,0.00929169,118.985,2895.68
1465,15.3527,0.00805598,119.051,3852.16
1469,15.3851,0.00810559,122.981,3805.14
1473,15.417,0.00795374,120.642,3951.82
1477,15.4492,0.0080841,117.832,3825.4
1481,15.4801,0.00732912,119.702,4654.11
1485,15.5084,0.0068251,129.937,5366.88
1489,15.5368,0.00797063,123.885,3935.09
1493,15.5685,0.00780818,126.967,4100.54
1497,15.5998,0.00780818,126.967,4100.54
1501,15.6293,0.00737895,129.875,4591.46
1505,15.6604,0.00777945,127.455,4130.88
1509,15.6935,0.00826743,121.219,3657.62
1513,15.7283,0.00871841,115.954,3289.01
1517,15.7605,0.00803164,119.519,3875.54
1521,15.7938,0.00844797,123.911,3502.96
1525,15.8285,0.00867536,122.71,3321.74
1529,15.8596,0.00777281,119.119,4137.93
1533,15.894,0.00888134,117.848,3169.44
1537,15.9282,0.00854133,114.409,3426.8
1541,15.9611,0.00821047,113.57,3708.55
1545,15.9956,0.00863444,113.527,3353.3
1549,16.0279,0.00806746,114.648,3841.2
1553,16.0612,0.00832629,115.548,3606.09
1557,16.0966,0.00885795,115.47,3186.2
1561,16.1313,0.00867803,114.93,3319.69
1565,16.1635,0.0080404,115.815,3867.09
1569,16.1942,0.00768277,115.622,4235.5
1573,16.2265,0.00808565,113.585,3823.93
1577,16.2596,0.00832393,113.317,3608.14
1581,16.2918,0.00777558,113.041,4134.99
1585,16.322,0.00731775,118.08,4668.57
1589,16.3512,0.00730797,126.358,4681.08
1593,16.3814,0.00822252,120.06,3697.68
1597,16.4139,0.00782593,112.122,4081.95
