sim_time,front_x,Z,T
21.1004,105.667,4.34757,13.4222
21.1604,105.667,4.34757,13.4603
21.2204,105.667,4.34757,13.4985
21.2804,105.667,4.34757,13.5367
21.3404,105.667,4.34757,13.5748
21.4004,105.667,4.34757,13.613
21.4604,105.667,4.34757,13.6512
21.5204,105.667,4.34757,13.6893
21.5804,105.667,4.34757,13.7275
21.6404,105.667,4.34757,13.7657
21.7004,105.667,4.34757,13.8038
21.7604,105.667,4.34757,13.842
21.8204,105.667,4.34757,13.8802
21.8804,105.667,4.34757,13.9183
21.9404,105.667,4.34757,13.9565
22.0004,105.667,4.34757,13.9947
22.0604,105.667,4.34757,14.0328
22.1204,105.667,4.34757,14.071
22.1804,105.667,4.34757,14.1092
22.2404,105.667,4.34757,14.1473
22.3004,105.667,4.34757,14.1855
22.3604,105.667,4.34757,14.2237
22.4204,105.667,4.34757,14.2618
22.4804,105.667,4.34757,14.3
22.5404,105.667,4.34757,14.3382
22.6004,105.667,4.34757,14.3763
22.6604,105.667,4.34757,14.4145
22.7204,105.667,4.34757,14.4527
22.7804,105.667,4.34757,14.4908
22.8404,105.667,4.34757,14.529
22.9004,105.667,4.34757,14.5672
22.9604,105.667,4.34757,14.6053
23.0204,105.667,4.34757,14.6435
23.0804,105.667,4.34757,14.6817
23.1404,105.667,4.34757,14.7198
23.2004,105.667,4.34757,14.758
23.2604,105.667,4.34757,14.7962
23.3204,105.667,4.34757,14.8343
23.3804,104.494,4.3234,14.8725
23.4404,105.667,4.34757,14.9107
23.5004,105.667,4.34757,14.9488
23.5604,105.667,4.34757,14.987
23.6204,105.667,4.34757,15.0252
23.6804,105.667,4.34757,15.0633
23.7404,105.667,4.34757,15.1015
23.8004,105.667,4.34757,15.1397
23.8604,105.667,4.34757,15.1778
23.9204,105.667,4.34757,15.216
23.9804,105.667,4.34757,15.2542
24.0404,105.667,4.34757,15.2923
24.1004,105.667,4.34757,15.3305
24.1604,105.667,4.34757,15.3687
24.2204,104.858,4.33089,15.4068
24.2804,105.667,4.34757,15.445
24.3404,105.667,4.34757,15.4832
24.4004,105.667,4.34757,15.5213
24.4604,105.667,4.34757,15.5595
24.5204,105.667,4.34757,15.5977
24.5804,105.667,4.34757,15.6358
24.6404,105.667,4.34757,15.674
24.7004,105.667,4.34757,15.7122
24.7604,105.667,4.34757,15.7503
24.8204,105.667,4.34757,15.7885
24.8804,105.667,4.34757,15.8267
24.9404,105.667,4.34757,15.8648
25.0004,105.667,4.34757,15.903
25.0604,105.667,4.34757,15.9412
25.1204,105.145,4.33682,15.9793
25.1804,105.125,4.33641,16.0175
25.2404,105.077,4.3354,16.0557
25.3004,105.096,4.3358,16.0938
25.3604,105.667,4.34757,16.132
25.4204,105.667,4.34757,16.1702
25.4804,105.052,4.3349,16.2083
25.5404,105.1,4.33588,16.2465
25.6004,105.081,4.33549,16.2847
25.6604,105.042,4.33468,16.3228
25.7204,105.057,4.335,16.361
25.7804,105.052,4.3349,16.3992
25.8404,104.998,4.33378,16.4373
25.9004,104.988,4.33358,16.4755
25.9604,105.022,4.33427,16.5137
26.0204,105.667,4.34757,16.5518
26.0804,105.667,4.34757,16.59
26.1404,105.667,4.34757,16.6282
26.2004,105.667,4.34757,16.6663
26.2604,105.667,4.34757,16.7045
26.3204,105.667,4.34757,16.7427
26.3804,105.667,4.34757,16.7808
26.4404,105.667,4.34757,16.819
26.5004,105.667,4.34757,16.8572
26.5604,105.667,4.34757,16.8953
26.6204,105.667,4.34757,16.9335
26.6804,105.667,4.34757,16.9717
26.7404,105.667,4.34757,17.0098
26.8004,105.667,4.34757,17.048
26.8604,105.667,4.34757,17.0862
26.9204,105.667,4.34757,17.1243
26.9804,105.667,4.34757,17.1625
27.0404,105.031,4.33447,17.2007
27.1004,105.053,4.33491,17.2388
27.1604,105.052,4.3349,17.277
27.2204,105.042,4.3347,17.3152
27.2804,105.039,4.33463,17.3533
27.3404,105.037,4.33458,17.3915
27.4004,105.031,4.33446,17.4297
27.4604,105.026,4.33437,17.4678
27.5204,105.023,4.33431,17.506
27.5804,105.019,4.33421,17.5442
27.6404,105.667,4.34757,17.5823
27.7004,105.667,4.34757,17.6205
27.7604,105.667,4.34757,17.6587
27.8204,105.667,4.34757,17.6968
27.8804,105.667,4.34757,17.735
27.9404,105.667,4.34757,17.7732
28.0004,105.667,4.34757,17.8113
28.0604,105.044,4.33472,17.8495
28.1204,105.06,4.33505,17.8877
28.1804,105.07,4.33527,17.9258
28.2404,105.069,4.33526,17.964
28.3004,104.768,4.32903,18.0022
28.3604,104.77,4.32908,18.0403
28.4204,104.773,4.32915,18.0785
28.4804,104.774,4.32916,18.1167
28.5404,104.778,4.32925,18.1548
28.6004,104.788,4.32945,18.193
28.6604,104.793,4.32956,18.2312
28.7204,104.797,4.32964,18.2693
28.7804,104.804,4.32979,18.3075
28.8404,104.807,4.32985,18.3456
28.9004,104.802,4.32973,18.3838
28.9604,104.794,4.32957,18.422
29.0204,104.782,4.32933,18.4601
29.0804,104.763,4.32894,18.4983
29.1404,104.743,4.32853,18.5365
29.2004,104.727,4.3282,18.5746
29.2604,104.714,4.32793,18.6128
29.3204,104.707,4.32779,18.651
29.3804,104.708,4.32781,18.6891
29.4404,104.716,4.32797,18.7273
29.5004,104.728,4.32822,18.7655
29.5604,104.744,4.32854,18.8036
29.6204,104.76,4.32887,18.8418
29.6804,104.774,4.32915,18.88
29.7404,104.788,4.32945,18.9181
29.8004,104.804,4.32978,18.9563
29.8604,104.818,4.33008,18.9945
29.9204,104.829,4.33029,19.0326
29.9804,104.837,4.33047,19.0708
30.0404,104.552,4.32458,19.109
30.1004,104.552,4.32459,19.1471
30.1604,104.546,4.32446,19.1853
30.2204,104.536,4.32427,19.2235
30.2804,104.526,4.32404,19.2616
