step,sim_time,dt,max_speed,max_accel
1865,27.7934,0.015,15.7463,510.095
1869,27.8534,0.015,12.2494,534.145
1873,27.9134,0.015,11.9779,536.125
1877,27.9734,0.015,11.6702,514.546
1881,28.0334,0.015,10.6931,514.664
1885,28.0934,0.015,10.4282,515.358
1889,28.1534,0.015,10.0627,542.001
1893,28.2134,0.015,10.2143,545.027
1897,28.2734,0.015,10.2584,546.396
1901,28.3334,0.015,10.3075,525.179
1905,28.3934,0.015,11.2358,526.294
1909,28.4534,0.015,11.6213,549.278
1913,28.5134,0.015,11.3368,554.848
1917,28.5734,0.015,11.3179,552.097
1921,28.6334,0.015,11.0925,513.115
1925,28.6934,0.015,11.1011,504.276
1929,28.7534,0.015,11.472,518.643
1933,28.8134,0.015,11.5883,510.826
1937,28.8734,0.015,11.3662,486.408
1941,28.9334,0.015,11.4274,481.04
1945,28.9934,0.015,11.7255,476.077
1949,29.0534,0.015,12.001,485.786
1953,29.1134,0.015,12.0622,482.089
1957,29.1734,0.015,12.0141,467.257
1961,29.2334,0.015,11.8301,465.241
1965,29.2934,0.015,11.5152,463.443
1969,29.3534,0.015,11.0454,472.929
1973,29.4134,0.015,10.6793,472.722
1977,29.4734,0.015,10.4338,463.533
1981,29.5334,0.015,10.682,464.961
1985,29.5934,0.015,10.8222,466.702
1989,29.6534,0.015,10.6007,476.431
1993,29.7134,0.015,10.7231,477.093
1997,29.7734,0.015,10.77,470.521
2001,29.8334,0.015,10.7915,472.119
2005,29.8934,0.015,10.7883,473.635
2009,29.9534,0.015,10.812,482.708
2013,30.0134,0.015,10.8639,483.883
2017,30.0734,0.015,10.9331,477.646
2021,30.1334,0.015,11.0769,478.898
2025,30.1934,0.015,11.3052,489.026
2029,30.2534,0.015,11.4956,490.321
2033,30.3134,0.015,11.6314,492.052
2037,30.3734,0.015,11.7237,485.265
2041,30.4334,0.015,11.8298,487.57
2045,30.4934,0.015,11.8996,498.571
2049,30.5534,0.015,11.8383,500.111
2053,30.6134,0.015,11.6865,501.187
2057,30.6734,0.015,11.7141,495.248
2061,30.7334,0.015,11.7349,497.399
2065,30.7934,0.015,11.5499,506.594
2069,30.8534,0.015,11.2212,508.842
2073,30.9134,0.015,10.988,509.781
2077,30.9734,0.015,11.0706,504.166
2081,31.0334,0.015,11.0016,502.964
2085,31.0934,0.015,10.9151,505.209
2089,31.1534,0.015,10.9917,503.603
2093,31.2134,0.015,10.9915,502.138
2097,31.2734,0.015,10.9333,498.11
2101,31.3334,0.015,10.9366,496.871
2105,31.3934,0.015,11.9118,495.978
2109,31.4534,0.015,12.5297,492.835
2113,31.5134,0.015,12.8317,489.391
2117,31.5734,0.015,12.8457,493.146
2121,31.6334,0.015,12.6884,493.176
2125,31.6934,0.015,12.4515,492.61
2129,31.7534,0.015,12.5034,481.817
2133,31.8134,0.015,13.4008,481.801
2137,31.8734,0.015,14.0385,488.5
2141,31.9334,0.015,14.6409,486.071
2145,31.9934,0.015,14.8444,487.152
2149,32.0534,0.015,15.1809,490.729
2153,32.1134,0.015,15.3587,494.77
2157,32.1734,0.015,15.4836,488.651
2161,32.2334,0.015,15.7142,493.161
2165,32.2934,0.015,15.904,511.153
2169,32.3534,0.015,15.6318,517.384
2173,32.4134,0.015,14.8736,523.818
2177,32.4734,0.015,14.1069,516.353
2181,32.5334,0.015,12.9845,522.055
2185,32.5934,0.015,12.4004,540.188
2189,32.6534,0.015,11.8253,544.848
2193,32.7134,0.015,11.2646,549.003
2197,32.7734,0.015,10.8317,542.684
2201,32.8334,0.015,10.4575,546.179
2205,32.8934,0.015,9.98906,555.971
2209,32.9534,0.015,9.73971,556.466
2213,33.0134,0.015,9.41182,556.765
2217,33.0734,0.015,9.21372,553.081
2221,33.1334,0.015,8.9291,554.997
2225,33.1934,0.015,8.47709,559.929
2229,33.2534,0.015,8.0683,561.054
2233,33.3134,0.015,7.85824,561.57
2237,33.3734,0.015,7.34208,563.932
2241,33.4334,0.015,6.95641,565.665
2245,33.4934,0.015,6.52358,563.389
2249,33.5534,0.015,6.22091,562.969
2253,33.6134,0.015,5.93597,562.828
2257,33.6734,0.015,5.71358,568.969
2261,33.7334,0.015,5.41499,569.02
2265,33.7934,0.015,5.08002,561.287
2269,33.8534,0.015,4.89038,560.627
2273,33.9134,0.015,4.87784,583.122
2277,33.9734,0.015,4.93114,568.819
2281,34.0334,0.015,5.07562,569.034
2285,34.0934,0.015,5.28388,564.332
2289,34.1534,0.015,5.65613,564.778
2293,34.2134,0.015,6.09403,564.746
2297,34.2734,0.015,6.44278,569.413
2301,34.3334,0.015,6.92041,569.567
2305,34.3934,0.015,7.51934,563.602
2309,34.4534,0.015,7.986,561.924
2313,34.5134,0.015,8.21225,562.112
2317,34.5734,0.015,8.75352,568.494
2321,34.6334,0.015,9.16944,568.562
2325,34.6934,0.015,9.70847,562.46
2329,34.7534,0.015,10.1605,561.308
2333,34.8134,0.015,10.3951,560.533
2337,34.8734,0.015,10.9933,562.187
2341,34.9334,0.015,11.4815,560.005
2345,34.9934,0.015,12.1012,554.614
2349,35.0534,0.015,12.5947,553.171
2353,35.1134,0.015,12.8411,552.128
2357,35.1734,0.015,13.4485,552.647
2361,35.2334,0.015,13.9072,551.431
2365,35.2934,0.015,14.401,547.695
2369,35.3534,0.015,14.7231,546.688
2373,35.4134,0.015,14.861,545.818
2377,35.4734,0.015,15.1753,546.246
2381,35.5334,0.015,15.3419,545.086
2385,35.5934,0.015,15.3342,544.116
2389,35.6534,0.015,13.8661,541.008
2393,35.7134,0.015,11.387,541.175
2397,35.7734,0.015,11.2617,543.826
2401,35.8334,0.015,11.4748,544.274
2405,35.8934,0.015,11.4598,544.727
2409,35.9534,0.015,11.0227,541.318
2413,36.0134,0.015,10.3933,541.052
2417,36.0734,0.015,9.82978,545.26
2421,36.1334,0.015,9.4818,544.835
2425,36.1934,0.015,9.89477,543.994
2429,36.2534,0.015,10.1234,538.414
2433,36.3134,0.015,9.8443,537.856
2437,36.3734,0.015,9.38545,541.455
2441,36.4334,0.015,9.44686,540.646
2445,36.4934,0.015,9.47167,539.891
2449,36.5534,0.015,9.35023,536.192
2453,36.6134,0.015,9.12873,536.39
2457,36.6734,0.015,8.90851,538.927
2461,36.7334,0.015,8.77151,538.847
2465,36.7934,0.015,8.65202,538.447
2469,36.8534,0.015,8.69701,539.279
2473,36.9134,0.015,8.70379,539.659
2477,36.9734,0.015,8.70607,539.35
2481,37.0334,0.015,8.7818,539.776
2485,37.0934,0.015,8.96108,543.533
2489,37.1534,0.015,9.11564,545.82
2493,37.2134,0.015,9.1561,548.89
2497,37.2734,0.015,9.09778,552.054
2501,37.3334,0.015,9.02442,550.292
2505,37.3934,0.015,8.92203,553.42
2509,37.4534,0.015,8.83283,569.464
2513,37.5134,0.015,8.79738,581.003
2517,37.5734,0.015,8.7701,594.047
2521,37.6334,0.015,8.75198,600.95
2525,37.6934,0.015,8.6759,614.115
2529,37.7534,0.015,8.56977,626.597
2533,37.8134,0.015,8.37608,642.034
2537,37.8734,0.015,8.1722,645.146
2541,37.9334,0.015,8.06019,644.877
2545,37.9934,0.015,8.01205,635.051
2549,38.0534,0.015,8.05538,627.42
2553,38.1134,0.015,8.10776,619.026
2557,38.1734,0.015,8.12451,605.42
2561,38.2334,0.015,8.11452,597.651
2565,38.2934,0.015,8.00545,577.236
2569,38.3534,0.015,7.82673,575.356
2573,38.4134,0.015,7.6144,568.884
2577,38.4734,0.015,7.56912,566.837
2581,38.5334,0.015,7.67205,565.743
2585,38.5934,0.015,7.93385,568.97
2589,38.6534,0.015,8.13179,567.544
2593,38.7134,0.015,8.35535,560.35
2597,38.7734,0.015,8.5027,559.681
2601,38.8334,0.015,8.56023,559.162
2605,38.8934,0.015,8.62667,563.717
2609,38.9534,0.015,8.57658,563.285
2613,39.0134,0.015,8.46413,559.433
2617,39.0734,0.015,8.4759,562.798
2621,39.1334,0.015,8.46505,565.645
2625,39.1934,0.015,8.38646,566.36
2629,39.2534,0.015,8.26219,569.459
2633,39.3134,0.015,8.02137,577.099
2637,39.3734,0.015,7.77235,579.267
2641,39.4334,0.015,7.73951,576.037
2645,39.4934,0.015,7.74539,578.699
2649,39.5534,0.015,7.70876,587
2653,39.6134,0.015,7.63853,588.776
2657,39.6734,0.015,7.54266,588.883
2661,39.7334,0.015,7.46507,582.584
2665,39.7934,0.015,7.41264,579.118
2669,39.8534,0.015,7.36211,574.672
2673,39.9134,0.015,7.29634,574.228
2677,39.9734,0.015,7.47075,570.339
2681,40.0334,0.015,7.67381,562.282
2685,40.0934,0.015,8.12818,556.697
2689,40.1534,0.015,8.50212,549.754
2693,40.2134,0.015,8.81651,543.388
2697,40.2734,0.015,8.94837,539.332
