sim_time,accel_med,speed_med
22.5134,662.687,17.5447
22.5734,662.631,17.4297
22.6334,662.337,16.9077
22.6934,662.093,16.5611
22.7534,662.093,16.5611
22.8134,662.093,16.5611
22.8734,662.093,16.5611
22.9334,662.093,16.5611
22.9934,660.004,16.5611
23.0534,653.057,16.5611
23.1134,645.271,16.9077
23.1734,644.190,17.1951
23.2334,643.433,17.1951
23.2934,636.989,17.1951
23.3534,631.945,17.1951
23.4134,631.403,17.1951
23.4734,627.872,17.1951
23.5334,626.309,16.9077
23.5934,622.949,16.5611
23.6534,619.545,16.4199
23.7134,619.460,16.3038
23.7734,617.000,16.2145
23.8334,609.711,16.2000
23.8934,604.028,15.9568
23.9534,603.665,15.7151
24.0134,602.430,15.3421
24.0734,602.216,15.1478
24.1334,601.884,14.9376
24.1934,601.509,14.8768
24.2534,583.258,13.5902
24.3134,576.217,12.5908
24.3734,571.687,11.6684
24.4334,570.543,11.0702
24.4934,568.671,10.7378
24.5534,568.346,10.5446
24.6134,567.398,10.1951
24.6734,561.811,10.0281
24.7334,560.895,9.9695
24.7934,559.051,9.7889
24.8534,557.273,9.1772
24.9134,553.792,8.9578
24.9734,552.378,8.7963
25.0334,551.852,8.2344
25.0934,548.492,7.9178
25.1534,540.871,7.5666
25.2134,539.057,7.5666
25.2734,538.066,7.5666
25.3334,535.652,7.5666
25.3934,532.533,7.5666
25.4534,529.804,7.5666
25.5134,525.969,7.5666
25.5734,523.798,7.5666
25.6334,513.930,7.5666
25.6934,508.817,7.5666
25.7534,508.022,7.5666
25.8134,501.737,7.5666
25.8734,498.697,7.5666
25.9334,484.446,7.5666
25.9934,484.164,7.5666
26.0534,480.250,7.5666
26.1134,479.992,8.0653
26.1734,478.599,8.4269
26.2334,477.905,8.9187
26.2934,477.096,9.5189
26.3534,477.096,10.0025
26.4134,477.096,10.0445
26.4734,474.525,10.1526
26.5334,474.525,10.4714
26.5934,474.525,10.5370
26.6534,474.525,10.7675
26.7134,474.525,10.8518
26.7734,474.525,11.0089
26.8334,474.525,11.0137
26.8934,474.525,11.5143
26.9534,474.525,11.9217
27.0134,474.525,11.9779
27.0734,474.525,11.9779
27.1334,477.096,11.9779
27.1934,477.905,11.9779
27.2534,478.599,11.9779
27.3134,479.754,11.9779
27.3734,485.103,11.9779
27.4334,488.239,11.9779
27.4934,490.839,11.9779
27.5534,501.316,11.9779
27.6134,506.558,11.9779
27.6734,510.095,11.9779
27.7334,510.327,11.9779
27.7934,510.327,11.9779
27.8534,513.115,11.9779
27.9134,513.115,11.9217
27.9734,513.115,11.6702
28.0334,513.115,11.6213
28.0934,513.115,11.6213
28.1534,513.115,11.6213
28.2134,513.115,11.6213
28.2734,513.115,11.6213
28.3334,513.115,11.6213
28.3934,513.115,11.5883
28.4534,513.115,11.5152
28.5134,513.115,11.4720
28.5734,510.826,11.4274
28.6334,510.826,11.3662
28.6934,510.826,11.3368
28.7534,510.826,11.3179
28.8134,504.276,11.2358
28.8734,486.408,11.1011
28.9334,485.786,11.0925
28.9934,482.089,11.0925
29.0534,482.089,11.0925
29.1134,482.089,11.0925
29.1734,481.040,11.0925
29.2334,478.898,11.0925
29.2934,478.898,11.1011
29.3534,478.898,11.1011
29.4134,478.898,11.1011
29.4734,478.898,11.1011
29.5334,478.898,11.1011
29.5934,478.898,11.3052
29.6534,478.898,11.3662
29.7134,478.898,11.3662
29.7734,478.898,11.3662
29.8334,478.898,11.4274
29.8934,478.898,11.4956
29.9534,482.089,11.3052
30.0134,482.089,11.2212
30.0734,482.708,11.0769
30.1334,483.883,11.0706
30.1934,485.265,11.0454
30.2534,487.570,11.0016
30.3134,489.026,10.9917
30.3734,490.321,10.9917
30.4334,492.052,10.9917
30.4934,495.248,11.0016
30.5534,495.248,11.0706
30.6134,495.248,11.0769
30.6734,495.248,11.2212
30.7334,495.248,11.3052
30.7934,495.248,11.4956
30.8534,495.248,11.5499
30.9134,495.248,11.6314
30.9734,495.248,11.6865
31.0334,495.248,11.7141
31.0934,495.248,11.7237
31.1534,495.248,11.7349
31.2134,495.248,11.8298
31.2734,495.248,11.8383
31.3334,495.248,11.8996
31.3934,495.978,11.9118
31.4534,495.978,12.4515
31.5134,495.978,12.5034
31.5734,495.978,12.5297
31.6334,496.871,12.6884
31.6934,496.871,12.6884
31.7534,496.871,12.6884
31.8134,496.871,12.6884
31.8734,496.871,12.6884
31.9334,496.871,12.6884
31.9934,496.871,12.6884
32.0534,496.871,12.6884
32.1134,496.871,12.6884
32.1734,496.871,12.6884
32.2334,496.871,12.6884
32.2934,511.153,12.6884
32.3534,516.353,12.6884
32.4134,517.384,12.6884
32.4734,522.055,12.5034
32.5334,523.818,12.4515
32.5934,540.188,12.4004
32.6534,542.684,11.8253
32.7134,544.848,11.2646
32.7734,546.179,10.8317
32.8334,549.003,10.4575
32.8934,553.081,9.9891
32.9534,554.997,9.7397
33.0134,555.971,9.4118
33.0734,556.466,9.2137
33.1334,556.765,8.9291
33.1934,559.929,8.4771
33.2534,560.627,8.0683
33.3134,561.054,7.8582
33.3734,561.287,7.3421
33.4334,561.570,6.9564
33.4934,562.828,6.9564
33.5534,562.828,6.9564
33.6134,562.828,6.9564
33.6734,562.969,6.9564
33.7334,563.389,6.9564
33.7934,563.389,6.9564
33.8534,563.389,6.9564
33.9134,563.389,6.9564
33.9734,563.389,6.9564
34.0334,563.389,6.9564
34.0934,563.389,6.9564
34.1534,563.389,6.9564
34.2134,563.389,6.9564
34.2734,563.389,6.9564
34.3334,562.969,6.9564
34.3934,562.828,7.5193
34.4534,562.460,7.9860
34.5134,562.187,8.2122
34.5734,562.112,8.7535
34.6334,561.924,9.1694
34.6934,561.308,9.7085
34.7534,561.308,10.1605
34.8134,561.308,10.3951
34.8734,560.533,10.9933
34.9334,560.005,11.2617
34.9934,554.614,11.3870
35.0534,553.171,11.3870
35.1134,552.647,11.3870
35.1734,552.128,11.3870
35.2334,551.431,11.3870
35.2934,547.695,11.3870
35.3534,546.688,11.3870
35.4134,546.246,11.3870
35.4734,545.818,11.3870
35.5334,545.260,11.3870
35.5934,545.086,11.3870
35.6534,544.835,11.3870
35.7134,544.727,11.3870
35.7734,544.274,11.3870
35.8334,544.116,11.3870
35.8934,543.994,11.2617
35.9534,543.826,11.0227
36.0134,541.455,10.3933
36.0734,541.318,10.1234
36.1334,541.175,9.8948
36.1934,541.175,9.8443
36.2534,541.175,9.8298
36.3134,541.175,9.4818
36.3734,541.175,9.4717
36.4334,541.175,9.4469
36.4934,541.175,9.3855
36.5534,541.175,9.3502
36.6134,541.318,9.1561
36.6734,541.455,9.1287
36.7334,541.455,9.1156
36.7934,541.455,9.0978
36.8534,541.455,9.0244
36.9134,543.533,8.9611
36.9734,543.994,8.9220
37.0334,543.994,8.9085
37.0934,543.994,8.8328
37.1534,545.820,8.7974
37.2134,548.890,8.7818
37.2734,550.292,8.7715
37.3334,552.054,8.7701
37.3934,553.420,8.7520
37.4534,569.464,8.7061
37.5134,569.464,8.7038
37.5734,569.464,8.6970
37.6334,569.464,8.6759
37.6934,569.464,8.6520
37.7534,569.464,8.5698
37.8134,569.464,8.3761
37.8734,569.464,8.3761
37.9334,569.464,8.3761
37.9934,569.464,8.3761
38.0534,569.464,8.3761
38.1134,569.464,8.3761
38.1734,569.464,8.3761
38.2334,569.464,8.3761
38.2934,569.464,8.3761
38.3534,569.464,8.3553
38.4134,575.356,8.2622
38.4734,575.356,8.1722
38.5334,575.356,8.1318
38.5934,575.356,8.1245
38.6534,575.356,8.1145
38.7134,575.356,8.1078
38.7734,575.356,8.0602
38.8334,575.356,8.0554
38.8934,575.356,8.0214
38.9534,574.672,8.0214
39.0134,574.228,8.0054
39.0734,570.339,7.9338
39.1334,569.459,7.8267
39.1934,568.970,7.8267
39.2534,568.884,7.8267
39.3134,567.544,7.9338
39.3734,566.837,8.0214
39.4334,566.360,8.1282
39.4934,566.360,8.1318
39.5534,565.645,8.2622
39.6134,563.717,8.3553
39.6734,563.717,8.3865
39.7334,563.717,8.3865
39.7934,563.717,8.3865
39.8534,563.285,8.3865
39.9134,562.798,8.3865
39.9734,562.798,8.3865
40.0334,562.282,8.2622
40.0934,556.697,8.1282
40.1534,549.754,8.1119
40.2134,543.388,8.0214
40.2734,539.332,7.7724
40.3334,533.794,7.7454
40.3934,530.156,7.7454
40.4534,526.604,7.7088
40.5134,526.308,7.6738
40.5734,524.118,7.6738
40.6334,519.399,7.6738
40.6934,518.841,7.6738
40.7534,517.125,7.6738
40.8134,517.071,7.6738
40.8734,515.180,7.6738
40.9334,510.143,7.6738
40.9934,509.444,7.8775
41.0534,508.745,7.6432
41.1134,508.384,7.3733
41.1734,508.023,7.1035
41.2334,507.505,7.0935
41.2934,506.986,7.0836
41.3534,506.347,6.9808
41.4134,505.708,6.8781
41.4734,504.784,6.7272
41.5334,503.861,6.5763
41.5934,503.527,6.2858
41.6534,503.193,5.9952
41.7134,502.607,5.5669
41.7734,502.021,5.1385
41.8334,501.990,4.9279
