sim_time,accel_med,speed_med
15.8285,3841.200,118.0800
15.8596,3841.200,118.0800
15.8940,3841.200,118.0800
15.9282,3841.200,117.8480
15.9611,3867.090,117.8480
15.9956,3867.090,116.1040
16.0279,3867.090,116.1040
16.0612,3867.090,115.9540
16.0966,3867.090,115.8150
16.1313,3867.090,115.8150
16.1635,3867.090,115.8150
16.1942,3867.090,115.8150
16.2265,3867.090,115.6220
16.2596,3875.540,115.5480
16.2918,3923.490,115.4700
16.3220,3923.490,115.4700
16.3512,3982.020,115.4700
16.3814,3982.020,115.4700
16.4139,3982.020,115.4700
16.4449,3982.020,115.4700
16.4752,4006.800,115.4700
16.5049,4081.950,115.4700
16.5359,4081.950,115.5480
16.5667,4101.740,115.4700
16.5944,4134.990,115.6220
16.6221,4166.450,115.8150
16.6511,4235.500,115.6220
16.6811,4240.240,115.3050
16.7135,4240.240,116.1040
16.7454,4240.240,116.1040
16.7759,4240.240,116.1660
16.8073,4166.450,116.1660
16.8357,4166.450,116.1660
16.8669,4167.520,116.1040
16.9020,4240.240,116.1660
16.9345,4167.520,116.1660
16.9652,4167.520,116.2100
16.9967,4167.520,116.2760
17.0285,4240.240,116.2760
17.0594,4295.900,116.2760
17.0891,4167.520,116.2760
17.1190,4167.520,116.2100
17.1492,4167.520,115.3050
17.1814,4295.900,116.2100
17.2126,4295.900,116.2100
17.2446,4314.300,116.2100
17.2773,4402.870,115.3050
17.3083,4402.870,115.3050
17.3356,4314.300,115.3050
17.3634,4402.870,114.7630
17.3937,4402.870,115.3050
17.4241,4402.870,115.3650
17.4537,4402.870,116.2100
17.4831,4402.870,116.2100
17.5123,4452.920,116.5010
17.5435,4452.920,116.5010
17.5719,4402.870,116.5010
17.5999,4452.060,116.6860
17.6289,4452.920,116.9100
17.6593,4452.920,116.9100
17.6893,4501.050,116.9100
17.7166,4564.270,116.9100
17.7481,4564.270,116.9100
17.7794,4564.270,118.1850
17.8088,4501.050,119.0210
17.8352,4501.050,121.2100
17.8633,4564.270,121.9060
17.8952,4564.270,123.3820
17.9273,4564.270,124.0620
17.9573,4503.780,125.6980
17.9869,4501.050,125.9640
18.0203,4501.050,129.2330
18.0503,4501.050,129.9350
18.0801,4501.050,130.7050
18.1108,4503.780,131.4760
18.1400,4564.270,132.3920
18.1686,4564.270,135.9950
18.1986,4564.270,136.8130
18.2297,4564.270,136.8130
18.2607,4564.270,136.9210
