sim_time,front_x,Z,T,cohesion,viscosity,tension
9.66618,105.667,4.34757,6.14874,0,3.14,0
9.72618,105.667,4.34757,6.18691,0,3.14,0
9.78618,105.667,4.34757,6.22507,0,3.14,0
9.84618,105.667,4.34757,6.26324,0,3.14,0
9.90618,105.667,4.34757,6.30141,0,3.14,0
9.96618,105.667,4.34757,6.33957,0,3.14,0
10.0262,105.667,4.34757,6.37774,0,3.14,0
10.0862,105.667,4.34757,6.4159,0,3.14,0
10.1462,105.667,4.34757,6.45407,0,3.14,0
10.2062,105.667,4.34757,6.49224,0,3.14,0
10.2662,105.667,4.34757,6.5304,0,3.14,0
10.3262,105.667,4.34757,6.56857,0,3.14,0
10.3862,105.667,4.34757,6.60674,0,3.14,0
10.4462,105.667,4.34757,6.6449,0,3.14,0
10.5062,105.667,4.34757,6.68307,0,3.14,0
10.5662,105.667,4.34757,6.72124,0,3.14,0
10.6262,105.667,4.34757,6.7594,0,3.14,0
10.6862,105.667,4.34757,6.79757,0,3.14,0
10.7462,105.667,4.34757,6.83574,0,3.14,0
10.8062,105.667,4.34757,6.8739,0,3.14,0
10.8662,105.667,4.34757,6.91207,0,3.14,0
10.9262,105.667,4.34757,6.95024,0,3.14,0
10.9862,105.667,4.34757,6.9884,0,3.14,0
11.0462,105.667,4.34757,7.02657,0,3.14,0
11.1062,105.667,4.34757,7.06474,0,3.14,0
11.1662,105.667,4.34757,7.1029,0,3.14,0
11.2262,105.667,4.34757,7.14107,0,3.14,0
11.2862,105.667,4.34757,7.17924,0,3.14,0
11.3462,105.667,4.34757,7.2174,0,3.14,0
11.4062,105.667,4.34757,7.25557,0,3.14,0
11.4662,105.667,4.34757,7.29373,0,3.14,0
11.5262,105.667,4.34757,7.3319,0,3.14,0
11.5862,105.667,4.34757,7.37007,0,3.14,0
11.6462,105.667,4.34757,7.40823,0,3.14,0
11.7062,105.667,4.34757,7.4464,0,3.14,0
11.7662,105.667,4.34757,7.48457,0,3.14,0
11.8262,105.667,4.34757,7.52273,0,3.14,0
11.8862,105.667,4.34757,7.5609,0,3.14,0
11.9462,105.667,4.34757,7.59907,0,3.14,0
12.0062,105.667,4.34757,7.63723,0,3.14,0
12.0662,105.667,4.34757,7.6754,0,3.14,0
12.1262,105.667,4.34757,7.71357,0,3.14,0
12.1862,105.667,4.34757,7.75173,0,3.14,0
