sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
6.24417,105.667,4.34757,3.97197,20,3.14,20,4000
6.2794,105.662,4.34747,3.99438,20,3.14,20,4000
6.31237,105.644,4.3471,4.01535,20,3.14,20,4000
6.34281,105.667,4.34757,4.03471,20,3.14,20,4000
6.37442,105.667,4.34757,4.05482,20,3.14,20,4000
6.41487,105.667,4.34757,4.08055,20,3.14,20,4000
6.45018,105.662,4.34747,4.10301,20,3.14,20,4000
6.48313,105.667,4.34757,4.12397,20,3.14,20,4000
6.51448,105.667,4.34757,4.14391,20,3.14,20,4000
6.55144,105.667,4.34757,4.16743,20,3.14,20,4000
6.58689,105.667,4.34757,4.18997,20,3.14,20,4000
6.61787,105.667,4.34757,4.20968,20,3.14,20,4000
6.64882,105.661,4.34745,4.22937,20,3.14,20,4000
6.68673,105.626,4.34673,4.25349,20,3.14,20,4000
6.71848,105.625,4.34672,4.27368,20,3.14,20,4000
6.75605,105.611,4.34643,4.29758,20,3.14,20,4000
6.78772,105.511,4.34437,4.31773,20,3.14,20,4000
6.82134,105.667,4.34757,4.33911,20,3.14,20,4000
6.85746,105.667,4.34757,4.36209,20,3.14,20,4000
6.89114,105.427,4.34263,4.38351,20,3.14,20,4000
6.9255,105.185,4.33764,4.40537,20,3.14,20,4000
6.96851,105.316,4.34034,4.43273,20,3.14,20,4000
7.00451,105.283,4.33966,4.45563,20,3.14,20,4000
7.03879,105.635,4.34693,4.47744,20,3.14,20,4000
7.07408,105.253,4.33904,4.49988,20,3.14,20,4000
7.10953,105.65,4.34723,4.52243,20,3.14,20,4000
7.14173,105.667,4.34757,4.54291,20,3.14,20,4000
7.17224,105.667,4.34757,4.56232,20,3.14,20,4000
7.20939,105.667,4.34757,4.58595,20,3.14,20,4000
7.24755,105.667,4.34757,4.61023,20,3.14,20,4000
7.28425,105.667,4.34757,4.63357,20,3.14,20,4000
7.31678,105.667,4.34757,4.65427,20,3.14,20,4000
7.35144,105.667,4.34757,4.67631,20,3.14,20,4000
7.384,105.667,4.34757,4.69703,20,3.14,20,4000
7.41755,105.667,4.34757,4.71837,20,3.14,20,4000
7.4546,105.667,4.34757,4.74194,20,3.14,20,4000
7.49249,105.667,4.34757,4.76604,20,3.14,20,4000
7.52292,105.667,4.34757,4.78539,20,3.14,20,4000
7.56357,105.667,4.34757,4.81125,20,3.14,20,4000
7.60811,105.667,4.34757,4.83958,20,3.14,20,4000
7.64726,105.667,4.34757,4.86449,20,3.14,20,4000
7.6876,105.667,4.34757,4.89015,20,3.14,20,4000
7.73203,105.466,4.34343,4.91841,20,3.14,20,4000
7.77254,105.667,4.34757,4.94418,20,3.14,20,4000
7.81376,105.667,4.34757,4.9704,20,3.14,20,4000
7.84937,105.667,4.34757,4.99305,20,3.14,20,4000
7.88164,105.667,4.34757,5.01358,20,3.14,20,4000
7.91781,105.667,4.34757,5.03659,20,3.14,20,4000
7.956,105.667,4.34757,5.06088,20,3.14,20,4000
7.99063,105.667,4.34757,5.08291,20,3.14,20,4000
8.03257,105.667,4.34757,5.10959,20,3.14,20,4000
8.07302,105.667,4.34757,5.13532,20,3.14,20,4000
8.11152,105.667,4.34757,5.15981,20,3.14,20,4000
8.15113,105.667,4.34757,5.185,20,3.14,20,4000
8.18835,105.667,4.34757,5.20868,20,3.14,20,4000
8.22041,105.667,4.34757,5.22907,20,3.14,20,4000
8.25556,105.667,4.34757,5.25143,20,3.14,20,4000
8.2933,105.667,4.34757,5.27544,20,3.14,20,4000
8.33305,105.667,4.34757,5.30073,20,3.14,20,4000
8.36612,105.667,4.34757,5.32176,20,3.14,20,4000
8.39937,105.667,4.34757,5.34291,20,3.14,20,4000
8.427,105.667,4.34757,5.36049,20,3.14,20,4000
8.45681,105.667,4.34757,5.37945,20,3.14,20,4000
8.48588,105.622,4.34666,5.39794,20,3.14,20,4000
8.51618,105.667,4.34757,5.41721,20,3.14,20,4000
8.55126,105.667,4.34757,5.43953,20,3.14,20,4000
8.58993,105.667,4.34757,5.46413,20,3.14,20,4000
8.62543,105.667,4.34757,5.48671,20,3.14,20,4000
8.6687,105.667,4.34757,5.51424,20,3.14,20,4000
8.70971,105.667,4.34757,5.54032,20,3.14,20,4000
8.75465,105.667,4.34757,5.56891,20,3.14,20,4000
8.79875,105.667,4.34757,5.59696,20,3.14,20,4000
8.8409,105.667,4.34757,5.62377,20,3.14,20,4000
8.88546,105.667,4.34757,5.65212,20,3.14,20,4000
8.93011,105.667,4.34757,5.68052,20,3.14,20,4000
8.97105,105.667,4.34757,5.70656,20,3.14,20,4000
9.00821,105.667,4.34757,5.7302,20,3.14,20,4000
9.04492,105.667,4.34757,5.75355,20,3.14,20,4000
9.0872,105.667,4.34757,5.78044,20,3.14,20,4000
9.12946,105.667,4.34757,5.80733,20,3.14,20,4000
9.17283,105.667,4.34757,5.83492,20,3.14,20,4000
9.21491,105.667,4.34757,5.86168,20,3.14,20,4000
9.2529,105.667,4.34757,5.88585,20,3.14,20,4000
9.29527,105.667,4.34757,5.9128,20,3.14,20,4000
9.33234,105.667,4.34757,5.93638,20,3.14,20,4000
9.37124,105.667,4.34757,5.96113,20,3.14,20,4000
9.41074,105.667,4.34757,5.98625,20,3.14,20,4000
9.44967,105.667,4.34757,6.01102,20,3.14,20,4000
9.48909,105.667,4.34757,6.03609,20,3.14,20,4000
9.52987,105.667,4.34757,6.06203,20,3.14,20,4000
